           1           1          -1          -1           1
           2           2          -2           0           2
           3           1          -1           1           3
           4           2           0           0           4
           5           1          -1           1           5
           6           2           0           2           4
           7           3           1           3           5
           8           2           0           2           6
           9           1          -1           1           7
          10           0          -2           0           8
          11           1          -3           1           9
          12           0          -4           2           8
          13          -1          -3           1           7
          14           0          -4           0           8
          15           1          -5          -1           7
          16           0          -4          -2           8
          17          -1          -3          -3           7
          18           0          -4          -2           6
          19           1          -5          -3           5
          20           2          -4          -2           6
          21           3          -5          -1           7
          22           2          -4           0           8
          23           1          -3           1           7
          24           0          -4           0           8
          25          -1          -3          -1           9
          26          -2          -4          -2           8
          27          -1          -5          -3           9
          28          -2          -4          -4           8
          29          -1          -5          -5           9
          30          -2          -4          -6          10
          31          -3          -3          -5          11
          32          -4          -2          -6          10
          33          -3          -1          -5           9
          34          -2          -2          -4           8
          35          -3          -3          -5           9
          36          -2          -4          -6          10
          37          -3          -3          -5           9
          38          -4          -4          -6           8
          39          -5          -3          -7           9
          40          -4          -4          -6           8
          41          -3          -5          -7           7
          42          -4          -4          -6           6
          43          -5          -5          -7           5
          44          -6          -4          -8           6
          45          -7          -3          -9           5
          46          -6          -2          -8           4
          47          -7          -3          -7           3
          48          -8          -2          -6           2
          49          -7          -3          -7           1
          50          -6          -2          -6           2
          51          -7          -1          -7           3
          52          -6          -2          -6           2
          53          -5          -3          -5           1
          54          -4          -2          -6           2
          55          -3          -1          -7           3
          56          -2          -2          -8           4
          57          -1          -1          -7           5
          58          -2          -2          -6           6
          59          -3          -3          -7           5
          60          -2          -4          -8           6
          61          -3          -3          -7           7
          62          -4          -2          -6           6
          63          -5          -3          -5           5
          64          -4          -4          -4           6
          65          -5          -5          -3           7
          66          -4          -6          -4           8
          67          -3          -7          -5           7
          68          -2          -6          -4           8
          69          -3          -7          -5           9
          70          -2          -8          -6          10
          71          -3          -7          -7          11
          72          -2          -6          -6          10
          73          -1          -5          -7          11
          74          -2          -6          -6          10
          75          -3          -5          -5          11
          76          -2          -4          -6          12
          77          -3          -5          -5          11
          78          -2          -6          -6          12
          79          -3          -5          -5          11
          80          -4          -6          -6          12
          81          -5          -5          -7          11
          82          -4          -4          -8          10
          83          -3          -3          -9          11
          84          -4          -2         -10          12
          85          -5          -3         -11          13
          86          -6          -4         -12          12
          87          -7          -5         -13          11
          88          -8          -6         -14          12
          89          -9          -5         -15          13
          90         -10          -4         -14          14
          91          -9          -3         -15          13
          92          -8          -2         -14          12
          93          -7          -1         -13          11
          94          -8          -2         -12          12
          95          -9          -1         -13          11
          96         -10          -2         -14          10
          97          -9          -3         -15           9
          98         -10          -2         -14           8
          99          -9          -1         -15           9
         100          -8          -2         -14           8
         101          -9          -3         -13           9
         102          -8          -4         -12           8
         103          -7          -5         -11           7
         104          -6          -4         -12           8
         105          -5          -3         -13           7
         106          -6          -2         -12           8
         107          -7          -3         -11           7
         108          -6          -2         -12           6
         109          -7          -3         -11           7
         110          -6          -4         -12           8
