           5   1.76930213       17.9534760     %
          10   1.54270589       2.84705949     %
          20   1.49123192      0.584538758     %
          40   1.46159828       2.56011486     %
          80   1.50917351      0.611567497     %
         160   1.47136366       1.90908909     %
         320   1.58456969       5.63797951     %
         640   1.49916387       5.57422638E-02 %
        1280   1.50629437      0.419624656     %
        2560   1.50228941      0.152627632     %
        5120   1.48933756      0.710829079     %
       10240   1.50312841      0.208560631     %
       20480   1.50517249      0.344832748     %
       40960   1.49877799       8.14676285E-02 %
       81920   1.50089276       5.95172234E-02 %
